xlssc,RA,Dec,z [N_z],Source,R_{spec},F_{14}^{[0.5-2],F_{14}^{[0.5-2] error  (\pm),T_X,T_X  error \m,T_X  error \P,R_{500},L_{500}^{bol},L(Bol) 44,L_{500}^{bol} error \pm,L_{500}^{[0.5-2]},L(0.5-2) 44,L_{500}^{[0.5-2]} error \pm,L_corrected,M_{500} (M1),M_{500} (M2),,ref,,
60,33.668,-4.552,0.14,[L],360,116,1,5.20,0.1,0.1,1.088,29,2.9,0.3,8.4,0.84,0.1,#VALUE!,35,13,,5,0.01,3.26E-16
76,33.682,-3.823,0.75,[6],72,2.1,0.3,1.30,0.1,0.1,0.35,10.3,1.03,1.3,4.9,0.49,0.6,,2,6,,-,0.02,2.68E-09
72,33.85,-3.726,1,[7],54,4,0.4,3.50,-0.6,1,0.526,56.3,5.63,5.2,19.7,1.97,1.8,,5.6,10,,4,0.03,2.66E-06
56,33.87,-4.681,0.35,[6],135,10.7,0.5,3.50,-0.7,0.9,0.783,12.6,1.26,0.8,4.4,0.44,0.3,,13,7.8,,-,0.04,6.49E-05
78,33.948,-4.842,0.95,[3],36,1.2,0.2,3.30,-0.8,1.3,0.524,15.1,1.51,2.2,5.4,0.54,0.8,,8.8,5.3,,4,0.05,0.000698361
57,34.051,-4.242,0.15,[16],90,18.3,0.9,2.00,-0.2,0.4,0.645,3.1,0.31,0.2,1.3,0.13,0.1,,4.8,4.3,,5,0.06,0.003694056
65,34.245,-4.821,0.43,[3],55,1,0.2,2.70,-0.7,1.2,0.645,1.6,0.16,0.4,0.6,0.06,0.1,,8.9,2.7,,3,0.07,0.009900736
59,34.391,-5.223,0.65,[8],75,1.4,0.2,2.70,-0.5,0.6,0.563,6.5,0.65,0.7,2.5,0.25,0.3,,6,4.5,,3,0.08,0.023761414
-^{a,34.433,-3.76,1.9,^{b},45,1.3,0.2,6.60,-2.2,5.4,0.465,91.6,9.16,14.8,23.5,2.35,3.8,,13,7.3,,4,0.09,0.044535874
79,34.494,-4.863,0.19,[7],50,0.6,0.2,2.20,0.4,0.4,0.651,0.12,0.012,0.06,0.05,0.005,0.03,,7.1,0.9,,-,0.1,0.078425092
77,34.522,-3.656,0.2,[4],80,4.5,0.8,1.60,-0.3,1.2,0.541,1.4,0.14,0.2,0.6,0.06,0.1,,4.1,2.7,,-,0.11,0.114579181
80,34.605,-5.415,0.65,[5],65,1.2,0.1,1.50,-0.2,0.5,0.409,4.1,0.41,0.6,1.9,0.19,0.3,,1.7,4,,-,0.12,0.161397341
64,34.633,-5.016,0.88,[3],72,1.4,0.1,2.00,-0.2,0.4,0.424,12.1,1.21,0.9,5.1,0.51,0.4,,4.4,5.5,,3,0.13,0.205003073
58,34.938,-4.891,0.33,[9],60,1.8,0.2,2.40,-0.5,0.7,0.631,1.8,0.18,0.2,0.7,0.07,0.1,,6.1,2.8,,3,0.14,0.245730518
39,35.098,-2.841,0.23,[4],108,1.9,0.4,1.00,0.1,0.1,0.417,0.6,0.06,0.1,0.3,0.03,0.1,,2.1,2,,1|3,0.15,0.284061248
23,35.189,-3.433,0.33,[3],63,4.2,0.4,1.90,0.2,0.2,0.565,3.9,0.39,0.4,1.6,0.16,0.2,,4.1,4.3,,1|3,0.16,0.320265067
6,35.438,-3.772,0.43,[16],117,24.7,0.8,5.60,-0.5,0.7,0.964,67.6,6.76,2.3,18.9,1.89,0.6,,24,16,,1|3,0.17,0.354514991
61,35.485,-5.757,0.26,[10],78,5.9,0.7,1.80,-0.2,0.6,0.57,2.9,0.29,0.4,1.3,0.13,0.2,,5.2,3.9,,-,0.18,0.377937288
40,35.523,-4.546,0.32,[16],42,2.1,0.3,3.90,-1.4,3,0.834,1.8,0.18,0.4,0.6,0.06,0.1,,16,3.1,,1|3,0.19,0.398127905
36,35.527,-3.054,0.49,[3],54,10.7,0.6,3.80,-0.5,0.6,0.748,30.6,3.06,1.8,10.3,1.03,0.6,,12,11,,1|3,0.2,0.4173831
47,35.544,-2.68,0.79,[14],60,1.6,0.3,3.20,-1.1,2.2,0.567,13.7,1.37,2.2,5,0.5,0.8,,7.9,5.9,,1|3,0.21,0.43576914
48,35.722,-3.474,1,[2^{c]],27,1.3,0.2,3.00,-1,1.9,0.482,17.1,1.71,3.1,6.3,0.63,1.2,,6.9,5.4,,1|3,0.22,0.451892287
75,35.834,-5.454,0.21,[9],63,2.5,0.4,1.09,-0.03,0.04,0.442,0.7,0.07,0.1,0.36,0.036,0.05,,2.5,2.3,,-,0.23,0.464972056
35,35.95,-2.858,0.07,[1^{c]],60,6.1,1.2,1.10,0.1,0.1,0.468,0.16,0.016,0.03,0.08,0.008,0.01,,1.3,1.1,,1|3,0.24,0.47783224
28,35.985,-3.1,0.3,[8],45,2,0.4,1.20,-0.1,0.2,0.437,1.2,0.12,0.2,0.6,0.06,0.1,,2.4,2.7,,1|3,0.25,0.490484945
49,35.989,-4.588,0.5,[4],35,2,0.2,2.90,-0.7,1.3,0.642,5.5,0.55,0.7,2,0.2,0.2,,5.7,4.4,,1|3,0.26,0.502925088
18,36.008,-5.09,0.32,[9],90,1.7,0.2,1.50,0.2,0.2,0.492,1.4,0.14,0.2,0.6,0.06,0.1,,3.7,2.5,,1|3,0.27,0.51516239
29,36.017,-4.225,1.05,[5],50,3.3,0.2,4.50,-1,1.1,0.593,56.1,5.61,4.1,17.4,1.74,1.3,,9.4,11,,1|4,0.28,0.525770434
62,36.06,-2.721,0.06,[4],60,8.2,2.8,0.80,0.1,0.1,0.392,0.18,0.018,0.04,0.1,0.01,0.02,,1,1.1,,-,0.29,0.535755076
53,36.114,-4.836,0.5,[7],60,2.7,0.3,6.70,-2.8,8.3,1.022,8.7,0.87,1.7,2.2,0.22,0.4,,32,6,,2,0.3,0.545593685
44,36.141,-4.234,0.26,[17],50,2.7,0.3,1.20,0.1,0.1,0.458,1.2,0.12,0.1,0.6,0.06,0.1,,2,2.5,,1|3,0.31,0.555292354
21,36.234,-5.134,0.08,[7],27,4.2,0.7,0.76,-0.05,0.04,0.387,0.16,0.016,0.02,0.09,0.009,0.01,,1.3,1,,1|3,0.32,0.56485494
