#Table: J/MNRAS/423/1024/. (cdsarc.u-strasbg.fr)
--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
                                          |                     |             |      |    |     |      |      |      |                             | n_| z|          |          |          |     |  e_|    E|          |          |          |     |  e_|
      XMMXCS                  Name        |     RAdeg      DEdeg|       Counts|     z|r_z |n_z  |    TX|  e_TX|  E_TX|OName                        |zoo|oo|      L500|    e_L500|    E_L500| R500|R500|_R500|      L200|    e_L200|    E_L200| R200|R200|   E_
------------------------------------------|---------------------|-------------|------|----|-----|------|------|------|-----------------------------|---|--|----------|----------|----------|-----|----|-----|----------|----------|----------|-----|----|-----
XMMXCSJ000013.9-251052.1XMMXCSJ0000.2-2510|  0.057917 -25.181139|8.7760100e+02|  0.08|Lit |spec |  1.80|  0.20|  0.40|APMCC 948                    |NXS|g |  0.065590|  0.009314|  0.017386|  566|  28|   73|  0.096134|  0.015371|  0.031611|  858|  43|  111
XMMXCSJ000029.8-251211.4XMMXCSJ0000.4-2512|  0.124167 -25.203167|6.5156200e+02|  0.15|NXS |phot |  0.81|  0.05|  0.04|                             |NXS|s |  0.059920|  0.021130|  0.041040|  343|  11|   10|  0.075284|  0.036481|  0.130913|  520|  16|   15
XMMXCSJ000103.8-250353.6XMMXCSJ0001.0-2503|  0.265833 -25.064889|3.6244300e+02|  0.91|NXS |phot |-99.00|-99.00|-99.00|                             |NXS|s |-99.000000|-99.000000|-99.000000|  -99| -99|  -99|-99.000000|-99.000000|-99.000000|  -99| -99|  -99
XMMXCSJ000141.4-154031.3XMMXCSJ0001.6-1540|  0.422500 -15.675361|1.1348700e+03|  0.12|Lit |spec |  1.80|  0.10|  0.30|RXC J0001.6-1540             |dss|na|  0.176699|-99.000000|-99.000000|  561|  16|   55|  0.167473|-99.000000|-99.000000|  561|  16|   55
XMMXCSJ000626.2+195944.2XMMXCSJ0006.4+1959|  1.609167  19.995611|1.1769600e+02|  0.46|NXS |phot |-99.00|-99.00|-99.00|                             |NXS|g |-99.000000|-99.000000|-99.000000|  -99| -99|  -99|-99.000000|-99.000000|-99.000000|  -99| -99|  -99
XMMXCSJ001116.1+005211.3XMMXCSJ0011.2+0052|  2.817083   0.869806|1.5533800e+02|  0.36|S82 |phot |  0.70|  0.10|  0.10|                             |S82|s |  0.034642|  0.027130|  0.015530|  259|  13|   23|  0.073096|  0.059482|  0.032165|  393|  20|   35
XMMXCSJ001328.5-272319.0XMMXCSJ0013.4-2723|  3.368750 -27.388611|4.8425500e+02|-99.00|NXS |phot |-99.00|-99.00|-99.00|                             |NXS|s |-99.000000|-99.000000|-99.000000|  -99| -99|  -99|-99.000000|-99.000000|-99.000000|  -99| -99|  -99
XMMXCSJ001345.2-271654.8XMMXCSJ0013.7-2716|  3.438333 -27.281889|1.6389600e+02|-99.00|NXS |phot |-99.00|-99.00|-99.00|                             |NXS|s |-99.000000|-99.000000|-99.000000|  -99| -99|  -99|-99.000000|-99.000000|-99.000000|  -99| -99|  -99
XMMXCSJ001639.1-010211.5XMMXCSJ0016.6-0102|  4.162917  -1.036528|4.0272200e+02|  0.17|S82 |phot |  1.70|  0.40|  1.50|MaxBCG J004.16184-01.03538   |S82|s |  0.083598|  0.067634|  0.148454|  506|  81|  225|  0.108253|  0.091553|  0.294633|  768| 123|  342
XMMXCSJ001737.4-005235.4XMMXCSJ0017.6-0052|  4.405833  -0.876500|1.2103100e+04|  0.21|LRG |spec |  4.80|  0.30|  0.30|MaxBCG J004.40671-00.87833   |S82|g |  2.461460|  0.164258|  0.164917|  889|  27|   33|  2.795530|  0.219288|  0.225828| 1348|  41|   50
XMMXCSJ002039.7-020440.2XMMXCSJ0020.6-0204|  5.165417  -2.077833|6.5371600e+01|  0.27|Lit |phot |-99.00|-99.00|-99.00|NSCS J002042-020334          |dss|na|-99.000000|-99.000000|-99.000000|  -99| -99|  -99|-99.000000|-99.000000|-99.000000|  -99| -99|  -99
XMMXCSJ002314.1+001201.5XMMXCSJ0023.2+0012|  5.808750   0.200417|3.0216000e+02|  0.27|S82 |phot |-99.00|-99.00|-99.00|SDSS CE J005.801610+00.197059|S82|g |-99.000000|-99.000000|-99.000000|  -99| -99|  -99|-99.000000|-99.000000|-99.000000|  -99| -99|  -99
XMMXCSJ002650.0+171931.3XMMXCSJ0026.8+1719|  6.708333  17.325361|3.5473500e+02|  0.49|Lit |spec |  3.30|  0.60|  0.90|CXOMP J002649.9+171933       |dss|na|  0.683179|  0.077434|  0.115580|  539|  61|   74|  1.296490|  0.333570|  0.385466|  818|  93|  113
XMMXCSJ002935.8+345322.7XMMXCSJ0029.5+3453|  7.399167  34.889639|2.4476300e+02|  0.73|NXS |phot |  3.50|  0.70|  1.00|                             |NXS|s |  1.413230|  0.262735|  0.243126|  419|  48|   65|  2.164070|  0.442353|  0.394095|  636|  72|   99
XMMXCSJ002953.9+350507.5XMMXCSJ0029.8+3505|  7.474583  35.085417|1.1083000e+02|  0.45|NXS |phot |-99.00|-99.00|-99.00|                             |NXS|s |-99.000000|-99.000000|-99.000000|  -99| -99|  -99|-99.000000|-99.000000|-99.000000|  -99| -99|  -99
XMMXCSJ003346.4-432100.5XMMXCSJ0033.7-4321|  8.443333 -43.350139|2.2189200e+02|-99.00|NXS |phot |-99.00|-99.00|-99.00|                             |NXS|s |-99.000000|-99.000000|-99.000000|  -99| -99|  -99|-99.000000|-99.000000|-99.000000|  -99| -99|  -99
XMMXCSJ003407.6-432236.9XMMXCSJ0034.1-4322|  8.531667 -43.376917|9.3828200e+01|  0.40|NXS |phot |  1.60|  0.20|  0.20|                             |NXS|s |  0.116425|  0.034814|  0.055680|  387|  27|   31|  0.163685|  0.081721|  0.261766|  587|  42|   48
XMMXCSJ003430.1-431905.6XMMXCSJ0034.5-4319|  8.625417 -43.318222|1.9098000e+03|  0.40|NXS |phot |  3.50|  0.20|  0.20|                             |NXS|s |  1.703690|  0.084714|  0.070175|  614|  24|   14|  2.509300|  0.142007|  0.121671|  931|  36|   22
XMMXCSJ003439.4-120715.8XMMXCSJ0034.6-1207|  8.664167 -12.121056|4.1082400e+02|  0.44|NXS |phot |  6.50|  2.00|  3.50|                             |NXS|g |  2.070270|  0.524584|  0.530588|  836| 155|  233|  2.739720|  0.784513|  0.863871| 1268| 236|  354
XMMXCSJ003548.2-432232.4XMMXCSJ0035.8-4322|  8.950833 -43.375667|7.3624800e+02|  0.63|Spec|spec |  3.30|  0.50|  0.70|                             |NXS|s |  0.875333|  0.089542|  0.080080|  462|  43|   53|  0.899223|  0.085715|  0.073005|  701|  65|   81
XMMXCSJ003605.0+851324.8XMMXCSJ0036.0+8513|  9.020833  85.223556|6.6492100e+02|  0.81|Lit |spec |  3.90|  0.60|  0.70|WARP J0035.9+8513            |NXS|b |  1.098820|  1.012930|  0.888394|  409|  35|   37|  2.331700|  2.245680|  0.340813|  620|  54|   57
XMMXCSJ003627.5-432830.9XMMXCSJ0036.4-4328|  9.114583 -43.475250|1.0364900e+03|  0.41|NXS |phot |  4.60|  1.20|  2.70|                             |NXS|s |  0.792206|  0.518708|  0.215747|  708| 112|  210|  1.515420|  1.240680|  0.561977| 1074| 170|  319
