      ,      ,      ,      ,          ,
     z,    TX,  e_TX,  E_TX,      L500,L500 Corrected
------,------,------,------,----------,----------
0.26,0.40,0.1,0.1,0.024293,
0.2,0.50,0.1,0.1,0.039707,
0.31,0.50,0.1,0.2,0.071322,
0.25,0.60,0.3,0.1,0.030159,
0.29,0.60,0.1,0.1,0.044965,
0.1,0.60,0.1,0.1,0.016567,
0.34,0.60,0.1,0.1,0.071926,
0.91,-99,-99,-99,-99,
0.13,0.65,0.04,0.03,0.022424,
0.46,-99,-99,-99,-99,
0.36,0.70,0.1,0.1,0.034642,
-99,-99,-99,-99,-99,
-99,-99,-99,-99,-99,
0.12,0.70,0.1,0.1,0.023115,
0.08,0.73,0.03,0.03,0.009165,
0.27,-99,-99,-99,-99,
0.27,-99,-99,-99,-99,
0.38,0.80,0.2,0.3,0.197155,
0.22,0.80,0.2,0.1,0.126576,
0.45,-99,-99,-99,-99,
-99,-99,-99,-99,-99,
0.1,0.80,0.1,0.1,0.007755,
0.12,0.80,0.03,0.03,0.017798,
0.19,0.80,0.1,0.1,0.06084,
0.15,0.81,0.05,0.04,0.05992,
0.11,0.86,0.03,0.03,0.0218,
0.2,0.90,0.1,0.2,0.011466,
0.1,0.90,0.1,0.1,0.029041,
0.1,0.90,0.1,0.1,0.016395,
0.25,0.90,0.2,0.3,0.17762,
0.57,0.90,0.2,0.3,0.354187,
0.12,1.00,0.1,0.3,0.037237,
0.79,-99,-99,-99,-99,
0.15,1.00,0.3,0.3,0.030367,
0.12,1.00,0.2,0.1,0.033328,
0.11,1.00,0.1,0.1,0.022829,
0.41,1.00,0.2,0.3,0.180157,
0.41,1.00,0.1,0.1,0.358555,
0.12,1.00,0.4,0.7,0.012,
0.14,1.00,0.1,0.1,0.115895,
0.06,1.08,0.02,0.02,0.049408,
0.95,-99,-99,-99,-99,
0.23,1.10,0.2,0.3,0.076201,
0.15,1.10,0.1,0.2,0.070604,
0.17,1.10,0.1,0.2,0.084078,
0.13,1.10,0.1,0.1,0.009206,
0.11,1.10,0.1,0.1,0.065364,
-99,-99,-99,-99,-99,
0.19,1.10,0.3,0.2,0.053333,
0.54,1.20,0.4,0.5,0.520583,
0.17,1.30,0.1,0.1,0.07619,
0.17,1.30,0.1,0.1,0.126728,
0.41,1.30,0.2,0.3,0.29075,
0.12,1.30,0.1,0.1,0.084934,
0.38,1.30,0.3,0.6,0.21041,
0.18,1.30,0.3,0.9,0.115459,
0.23,1.30,0.2,0.3,0.049808,
0.09,1.30,0.1,0.1,0.092406,
0.7,-99,-99,-99,-99,
0.12,1.30,0.3,0.6,0.135525,
0.11,1.30,0.1,0.1,0.011854,
0.29,1.30,0.2,0.3,0.108088,
0.13,1.30,0.1,0.1,0.083626,
-99,-99,-99,-99,-99,
0.52,-99,-99,-99,-99,
0.09,1.30,0.03,0.03,0.173511,
-99,-99,-99,-99,-99,
0.45,1.40,0.2,0.3,0.321154,
0.4,-99,-99,-99,-99,
0.75,-99,-99,-99,-99,
0.17,1.40,0.1,0.2,0.090702,
0.26,1.40,0.1,0.1,0.170213,
-99,-99,-99,-99,-99,
0.28,-99,-99,-99,-99,
0.59,1.40,0.2,0.3,0.246822,
-99,-99,-99,-99,-99,
0.21,1.40,0.3,0.3,0.10633,
0.1,1.40,0.1,0.2,0.181751,
0.28,-99,-99,-99,-99,
0.28,1.40,0.1,0.2,0.16203,
0.31,1.40,0.1,0.4,0.169275,
-99,-99,-99,-99,-99,
0.1,1.40,0.05,0.05,0.064902,
-99,-99,-99,-99,-99,
0.24,1.40,0.2,0.3,0.070137,
0.28,1.40,0.2,0.3,0.094654,
0.29,1.40,0.5,1.3,0.109441,
0.43,1.40,0.4,0.8,0.13157,
0.57,-99,-99,-99,-99,
0.24,1.40,0.1,0.1,0.184189,
0.18,1.40,0.1,0.2,0.173868,
0.17,1.40,0.2,0.3,0.066,
0.19,1.40,0.2,0.5,0.312578,
-99,-99,-99,-99,-99,
0.12,1.43,0.03,0.06,0.061519,
0.63,-99,-99,-99,-99,
0.12,1.50,0.4,0.5,0.038925,
