     z,M500,L500 Corrected,      L500,    TX,Kappa,,,,
0.26,28.62189552,0.021967377,0.024293,0.4,1.105867105,0.904267787,,h(z),
0.2,43.39757196,0.036649969,0.039707,0.5,1.083411564,0.92301027,,omega_0,1
0.31,51.43646106,0.065830938,0.071322,0.5,1.083411564,0.92301027,,omega_lambda,0.7
0.25,33.717939,0.027949437,0.030159,0.6,1.079055738,0.926736187,,omega_m,0.3
0.29,40.21919843,0.041670693,0.044965,0.6,1.079055738,0.926736187,,,
0.1,30.73979804,0.015353238,0.016567,0.6,1.079055738,0.926736187,,,
0.34,49.3838491,0.066656427,0.071926,0.6,1.079055738,0.926736187,,,
0.13,34.87308031,0.020746966,0.022424,0.65,1.080832723,0.92521255,,,
0.36,30.54666343,0.03193175,0.034642,0.7,1.084876345,0.921764038,,,
0.12,36.1224517,0.021306576,0.023115,0.7,1.084876345,0.921764038,,,
0.08,22.13872733,0.00840484,0.009165,0.73,1.090443172,0.917058335,,,
0.38,84.61439946,0.178682226,0.197155,0.8,1.103383386,0.906303296,,,
0.22,84.00607999,0.114716246,0.126576,0.8,1.103383386,0.906303296,,,
0.1,19.08901641,0.007028382,0.007755,0.8,1.103383386,0.906303296,,,
0.12,30.48433129,0.016130386,0.017798,0.8,1.103383386,0.906303296,,,
0.19,56.67423241,0.055139493,0.06084,0.8,1.103383386,0.906303296,,,
0.15,60.33910645,0.054215134,0.05992,0.81,1.10522645,0.904791955,,,
0.11,34.9510166,0.019561424,0.0218,0.86,1.114438318,0.897313009,,,
0.2,19.88007178,0.010186752,0.011466,0.9,1.12557957,0.888431193,,,
0.1,42.18534471,0.02580093,0.029041,0.9,1.12557957,0.888431193,,,
0.1,29.7686455,0.014565829,0.016395,0.9,1.12557957,0.888431193,,,
0.25,96.88145619,0.157803148,0.17762,0.9,1.12557957,0.888431193,,,
0.57,90.73002528,0.314670779,0.354187,0.9,1.12557957,0.888431193,,,
0.12,46.46573595,0.032200072,0.037237,1,1.156425983,0.864733251,,,
0.15,38.78157183,0.026259355,0.030367,1,1.156425983,0.864733251,,,
0.12,43.42738253,0.02881983,0.033328,1,1.156425983,0.864733251,,,
0.11,35.14630586,0.019740995,0.022829,1,1.156425983,0.864733251,,,
0.41,74.3363964,0.155787748,0.180157,1,1.156425983,0.864733251,,,
0.41,113.0994341,0.310054431,0.358555,1,1.156425983,0.864733251,,,
0.12,23.29478852,0.010376799,0.012,1,1.156425983,0.864733251,,,
0.14,89.41134875,0.10021826,0.115895,1,1.156425983,0.864733251,,,
0.06,61.20325967,0.041723116,0.049408,1.08,1.184187682,0.844460735,,,
0.23,57.88300952,0.064083709,0.076201,1.1,1.189085359,0.840982519,,,
0.15,63.77957818,0.05937673,0.070604,1.1,1.189085359,0.840982519,,,
0.17,68.38376038,0.070708128,0.084078,1.1,1.189085359,0.840982519,,,
0.13,19.11858563,0.007742085,0.009206,1.1,1.189085359,0.840982519,,,
0.11,65.62551095,0.054969981,0.065364,1.1,1.189085359,0.840982519,,,
0.19,49.96925243,0.044852121,0.053333,1.1,1.189085359,0.840982519,,,
0.54,114.3481466,0.429847332,0.520583,1.2,1.211088127,0.825703743,,,
0.17,62.89789937,0.061646685,0.07619,1.3,1.235913984,0.809117797,,,
0.17,85.77816584,0.10253788,0.126728,1.3,1.235913984,0.809117797,,,
